dog_id,dog_name,age_group,breed_mix,intake_date,current_status,foster_status,adoption_status,medical_status,behavior_notes,special_needs,good_with_dogs,good_with_cats,good_with_children,energy_level,priority_level,days_in_care,estimated_monthly_cost,adoption_ready,bio_needed,social_post_needed
DOG-1000,Summer,Adult,Terrier mix,2026-03-14,Foster Needed,Needs Foster,Needs Review,Routine Care,Leash work in progress,False,Yes,Yes,Yes,High,High,112,86,False,False,False
DOG-1001,Murphy,Adult,Cattle Dog mix,2026-02-04,Adopted,In Foster,Adopted,Heartworm Treatment,Shy at first,True,Yes,Unknown,Unknown,Medium,High,150,289,False,False,False
DOG-1002,Cookie,Adult,Mastiff mix,2026-03-30,Medical Hold,Needs Backup,Not Ready,Medical Hold,Friendly and energetic,True,Yes,Unknown,Unknown,Medium,High,96,273,False,False,False
DOG-1003,Molly,Senior,Pit mix,2026-05-04,Medical Hold,Needs Backup,Not Ready,Clear,Friendly and energetic,False,Yes,Yes,Yes,Low,Medium,61,72,False,False,False
DOG-1004,Jasper,Senior,Labrador mix,2026-05-02,In Foster,In Foster,Not Ready,Clear,Crate trained,False,Unknown,No,Yes,High,Low,63,64,False,False,False
DOG-1005,Maple,Puppy,Spaniel mix,2026-03-23,Adoption Ready,In Foster,Available,Routine Care,Friendly and energetic,False,Yes,Unknown,Yes,Low,Medium,103,98,True,True,False
DOG-1006,Honey,Young,Boxer mix,2026-05-31,Medical Hold,In Foster,Not Ready,Dental Needed,High play drive,False,Yes,No,Yes,Medium,Low,34,251,False,False,False
DOG-1007,Remy,Senior,Terrier mix,2026-01-28,In Foster,In Foster,Needs Review,Medical Hold,Shy at first,True,Yes,Yes,Unknown,Low,Critical,157,406,False,False,False
DOG-1008,Scout,Senior,Great Pyrenees mix,2026-03-01,Pending Adoption,In Foster,Application Pending,Clear,Needs slow introductions,False,Yes,No,Yes,Medium,High,125,57,True,True,False
DOG-1009,Luna,Puppy,Boxer mix,2026-06-22,In Foster,Short-Term Foster,Not Ready,Clear,High play drive,True,No,Unknown,Yes,Medium,Critical,12,63,False,False,False
DOG-1010,Wally,Young,Husky mix,2026-06-23,Pending Adoption,In Foster,Application Pending,Vaccines Needed,Crate trained,False,Yes,No,Unknown,Medium,Medium,11,125,True,False,True
DOG-1011,Bonnie,Adult,Chihuahua mix,2026-04-06,Intake,Needs Foster,Needs Review,Heartworm Treatment,Leash work in progress,True,No,Unknown,Yes,Low,High,89,349,False,False,False
DOG-1012,Ruby,Young,Boxer mix,2026-04-05,Medical Hold,In Foster,Available Soon,Vaccines Needed,Crate trained,False,Yes,Yes,Yes,Medium,Low,90,97,False,False,False
DOG-1013,Ember,Puppy,Retriever mix,2026-04-18,In Foster,Needs Backup,Available Soon,Routine Care,Needs slow introductions,True,Unknown,Yes,Unknown,Medium,Critical,77,83,False,False,False
DOG-1014,Bella,Senior,Beagle mix,2026-03-30,Adopted,Needs Backup,Adopted,Routine Care,Loves quiet routines,False,Yes,No,Yes,High,Low,96,97,False,False,False
DOG-1015,June,Adult,Boxer mix,2026-04-30,In Foster,In Foster,Needs Review,Heartworm Treatment,Needs slow introductions,True,Yes,Yes,Unknown,Medium,High,65,266,False,False,False
DOG-1016,Nora,Young,Mastiff mix,2026-02-05,Adopted,Needs Backup,Adopted,Routine Care,Shy at first,False,Yes,Yes,Unknown,High,High,149,99,False,False,False
DOG-1017,Oakley,Adult,Spaniel mix,2026-03-20,In Foster,Needs Backup,Available Soon,Clear,Needs slow introductions,False,Yes,Unknown,No,Medium,Medium,106,71,False,False,False
DOG-1018,Tucker,Adult,Pit mix,2026-04-03,Medical Hold,Needs Backup,Not Ready,Surgery Needed,Friendly and energetic,True,Yes,No,Unknown,Medium,Critical,92,587,False,False,False
DOG-1019,Sadie,Young,Retriever mix,2026-01-07,Adopted,In Foster,Adopted,Vaccines Needed,Leash work in progress,False,Yes,No,Unknown,Medium,High,178,72,False,False,False
DOG-1020,Frankie,Young,Labrador mix,2026-02-26,Adopted,Short-Term Foster,Adopted,Vaccines Needed,Friendly and energetic,False,No,Unknown,Unknown,Low,High,128,111,False,False,False
DOG-1021,Nala,Adult,Labrador mix,2026-04-28,Foster Needed,Needs Foster,Needs Review,Routine Care,Crate trained,False,Yes,No,Unknown,Medium,High,67,76,False,False,False
DOG-1022,Blue,Adult,Great Pyrenees mix,2025-12-28,Medical Hold,In Foster,Available Soon,Heartworm Treatment,Crate trained,True,Yes,Unknown,Yes,Medium,High,188,207,False,False,False
DOG-1023,Zoe,Puppy,Labrador mix,2026-06-16,Foster Needed,Needs Foster,Not Ready,Clear,Shy at first,False,Yes,No,Yes,Medium,High,18,72,False,False,True
DOG-1024,Georgia,Adult,Chihuahua mix,2026-06-09,Intake,Needs Foster,Not Ready,Emergency,High play drive,True,No,Unknown,No,Medium,Critical,25,679,False,False,False
DOG-1025,Ivy,Puppy,Beagle mix,2026-05-22,Adoption Ready,Boarding,Available,Routine Care,Needs slow introductions,False,Yes,No,No,Low,Medium,43,81,True,True,False
DOG-1026,Atlas,Adult,Hound mix,2026-03-24,Adoption Ready,In Foster,Available,Heartworm Treatment,Needs slow introductions,True,Unknown,No,Yes,Low,High,102,255,True,False,True
DOG-1027,Theo,Adult,Pit mix,2026-04-28,In Foster,Boarding,Not Ready,Routine Care,Crate trained,True,Yes,Unknown,Yes,Medium,High,67,128,False,False,False
DOG-1028,Rex,Adult,Spaniel mix,2026-03-14,Medical Hold,In Foster,Needs Review,Medical Hold,Needs slow introductions,True,Yes,Yes,Unknown,Low,Critical,112,335,False,False,False
DOG-1029,Rudy,Senior,Boxer mix,2026-02-23,Intake,Needs Foster,Not Ready,Clear,Loves quiet routines,False,Unknown,No,Yes,Medium,High,131,38,False,False,False
DOG-1030,Jack,Adult,Labrador mix,2026-06-03,Adoption Ready,In Foster,Available,Medical Hold,High play drive,True,Yes,Yes,Yes,Medium,High,31,259,True,False,False
DOG-1031,Sunny,Adult,Cattle Dog mix,2026-05-21,Medical Hold,Needs Backup,Not Ready,Clear,Shy at first,False,No,Yes,No,Low,Medium,44,73,False,False,False
DOG-1032,Olive,Senior,Pit mix,2026-02-07,Intake,Needs Foster,Not Ready,Medical Hold,Loves quiet routines,True,Yes,Unknown,Unknown,High,Critical,147,278,False,False,False
DOG-1033,Fiona,Adult,Retriever mix,2026-01-03,Medical Hold,Short-Term Foster,Not Ready,Clear,Loves quiet routines,False,Yes,Unknown,No,High,High,182,71,False,False,False
DOG-1034,Beau,Puppy,Terrier mix,2026-03-27,In Foster,Short-Term Foster,Needs Review,Routine Care,Leash work in progress,False,Yes,No,Unknown,Medium,Medium,99,151,False,False,False
DOG-1035,Tessa,Adult,Shepherd mix,2026-01-27,Foster Needed,Needs Foster,Not Ready,Heartworm Treatment,Leash work in progress,True,No,Yes,Yes,Medium,High,158,292,False,False,False
DOG-1036,Cooper,Puppy,Pit mix,2026-05-11,Adoption Ready,Boarding,Available,Medical Hold,Needs slow introductions,True,Yes,No,No,High,Critical,54,396,True,True,False
DOG-1037,Louie,Puppy,Spaniel mix,2026-03-02,Intake,Needs Foster,Not Ready,Surgery Needed,Loves quiet routines,True,Yes,No,Unknown,Low,Critical,124,323,False,False,False
DOG-1038,Boomer,Adult,Terrier mix,2026-01-09,Adoption Ready,Needs Backup,Available,Routine Care,Crate trained,False,Yes,No,Unknown,Medium,High,176,139,True,False,True
DOG-1039,Maisie,Young,Beagle mix,2026-03-17,In Foster,In Foster,Available Soon,Clear,Crate trained,False,Unknown,Yes,No,Low,Medium,109,57,False,False,False
DOG-1040,Ranger,Adult,Beagle mix,2025-12-09,Adopted,In Foster,Adopted,Heartworm Treatment,Friendly and energetic,True,Unknown,Unknown,Unknown,High,High,207,148,False,False,False
DOG-1041,Annie,Puppy,Pit mix,2026-06-17,Adopted,Needs Backup,Adopted,Routine Care,Needs slow introductions,False,Yes,Unknown,Yes,Medium,Low,17,108,False,False,False
DOG-1042,Hazel,Adult,Mastiff mix,2026-03-26,Medical Hold,In Foster,Available Soon,Clear,High play drive,False,No,Yes,Yes,High,Medium,100,69,False,False,False
DOG-1043,Baxter,Young,Retriever mix,2026-03-21,Adoption Ready,Short-Term Foster,Available,Clear,High play drive,False,Unknown,Unknown,No,Medium,Medium,105,77,True,False,False
DOG-1044,Milo,Adult,Boxer mix,2026-05-23,Adopted,Boarding,Adopted,Medical Hold,Crate trained,True,Yes,Unknown,Yes,Medium,High,42,317,False,False,False
DOG-1045,Toby,Adult,Terrier mix,2026-02-01,In Foster,In Foster,Available Soon,Heartworm Treatment,Crate trained,True,Unknown,Yes,No,Medium,Critical,153,152,False,False,False
