expense_id,dog_name,expense_date,expense_type,amount,funded_status,urgency,notes
MED-9000,Ollie,2026-05-17,Dental,1071.03,Unfunded,High,Needs funding visibility.
MED-9001,George,2026-05-02,Spay/Neuter,243.02,Unfunded,High,Candidate for donor update.
MED-9002,Rex,2026-06-23,Vaccines,81.77,Partially Funded,Medium,Add to weekly founder review.
MED-9003,Ruby,2026-06-22,Surgery,2790.89,Funded,High,Needs funding visibility.
MED-9004,Bruno,2026-05-21,Heartworm Treatment,1087.21,Unfunded,High,Candidate for donor update.
MED-9005,Minnie,2026-06-16,Surgery,2954.35,Partially Funded,High,Track before adoption readiness review.
MED-9006,Winnie,2026-05-08,Dental,1139.77,Funded,High,Track before adoption readiness review.
MED-9007,Sam,2026-07-02,Medication,168.52,Unfunded,Medium,Add to weekly founder review.
MED-9008,Grace,2026-06-13,Medication,214.12,Unfunded,Medium,Needs funding visibility.
MED-9009,George,2026-03-21,Vaccines,65.71,Partially Funded,Medium,Add to weekly founder review.
MED-9010,Lucky,2026-05-21,Surgery,1481.3,Partially Funded,High,Needs funding visibility.
MED-9011,Penny,2026-06-07,Spay/Neuter,355.18,Funded,Medium,Coordinate with volunteer medical lead.
MED-9012,Mabel,2026-05-14,Dental,489.89,Partially Funded,High,Candidate for donor update.
MED-9013,Callie,2026-05-13,Vaccines,154.75,Partially Funded,Medium,Coordinate with volunteer medical lead.
MED-9014,Theo,2026-03-12,Medication,247.41,Funded,Medium,Add to weekly founder review.
MED-9015,Finn,2026-04-02,Routine Visit,89.4,Partially Funded,Low,Candidate for donor update.
MED-9016,Molly,2026-04-25,Surgery,3042.99,Funded,High,Coordinate with volunteer medical lead.
MED-9017,Gus,2026-06-07,Heartworm Treatment,1295.04,Unfunded,High,Candidate for donor update.
MED-9018,Frankie,2026-04-29,Spay/Neuter,252.21,Unfunded,Medium,Candidate for donor update.
MED-9019,Sam,2026-05-20,Dental,1009.21,Partially Funded,High,Add to weekly founder review.
MED-9020,Benny,2026-06-04,Heartworm Treatment,1332.78,Unfunded,High,Track before adoption readiness review.
MED-9021,Sadie,2026-05-22,Surgery,3111.88,Funded,High,Add to weekly founder review.
MED-9022,Jasper,2026-04-09,Heartworm Treatment,1710.61,Partially Funded,High,Add to weekly founder review.
MED-9023,Poppy,2026-05-23,Dental,927.62,Funded,High,Needs funding visibility.
MED-9024,Callie,2026-04-17,Vaccines,173.97,Funded,Medium,Candidate for donor update.
MED-9025,Gus,2026-06-08,Emergency Vet,989.9,Unfunded,Critical,Needs funding visibility.
MED-9026,Maple,2026-06-14,Heartworm Treatment,1207.67,Funded,High,Track before adoption readiness review.
MED-9027,Baxter,2026-07-01,Dental,469.16,Unfunded,High,Candidate for donor update.
MED-9028,Lola,2026-04-15,Surgery,1524.01,Funded,High,Candidate for donor update.
MED-9029,Summer,2026-05-29,Emergency Vet,454.95,Partially Funded,Critical,Coordinate with volunteer medical lead.
MED-9030,Benny,2026-04-18,Heartworm Treatment,738.33,Funded,High,Candidate for donor update.
MED-9031,Fiona,2026-04-13,Surgery,2416.41,Funded,High,Candidate for donor update.
MED-9032,Frankie,2026-04-14,Diagnostic Testing,139.79,Partially Funded,Medium,Add to weekly founder review.
MED-9033,Ranger,2026-03-13,Heartworm Treatment,963.0,Partially Funded,High,Track before adoption readiness review.
MED-9034,Georgia,2026-04-28,Emergency Vet,1159.96,Partially Funded,Critical,Candidate for donor update.
MED-9035,Molly,2026-04-22,Routine Visit,176.29,Unfunded,Low,Candidate for donor update.
MED-9036,Sadie,2026-06-09,Medication,103.59,Unfunded,Medium,Track before adoption readiness review.
MED-9037,Rex,2026-04-07,Heartworm Treatment,741.79,Partially Funded,High,Candidate for donor update.
MED-9038,Baxter,2026-04-21,Dental,1154.21,Funded,High,Coordinate with volunteer medical lead.
MED-9039,Knox,2026-05-03,Heartworm Treatment,847.36,Unfunded,High,Candidate for donor update.
MED-9040,Willow,2026-06-26,Heartworm Treatment,1713.82,Unfunded,High,Track before adoption readiness review.
MED-9041,Cookie,2026-05-08,Spay/Neuter,260.59,Funded,Medium,Coordinate with volunteer medical lead.
MED-9042,Ranger,2026-05-24,Heartworm Treatment,704.32,Unfunded,High,Needs funding visibility.
MED-9043,Ember,2026-05-05,Diagnostic Testing,692.81,Partially Funded,Medium,Coordinate with volunteer medical lead.
MED-9044,Nora,2026-04-21,Dental,1183.36,Unfunded,High,Add to weekly founder review.
MED-9045,Jack,2026-06-30,Routine Visit,157.07,Funded,Low,Needs funding visibility.
MED-9046,Mia,2026-04-14,Diagnostic Testing,684.43,Unfunded,Medium,Track before adoption readiness review.
MED-9047,Diesel,2026-04-18,Vaccines,77.72,Unfunded,Medium,Coordinate with volunteer medical lead.
MED-9048,Millie,2026-06-05,Vaccines,96.64,Unfunded,High,Add to weekly founder review.
MED-9049,Archie,2026-05-01,Vaccines,76.1,Funded,Medium,Coordinate with volunteer medical lead.
MED-9050,Buddy,2026-07-03,Emergency Vet,1756.97,Unfunded,Critical,Track before adoption readiness review.
MED-9051,Macy,2026-05-16,Surgery,916.55,Unfunded,High,Track before adoption readiness review.
MED-9052,Ruby,2026-06-01,Heartworm Treatment,1741.46,Funded,High,Add to weekly founder review.
MED-9053,Georgia,2026-04-14,Medication,54.33,Funded,Medium,Coordinate with volunteer medical lead.
MED-9054,Murphy,2026-04-01,Heartworm Treatment,1672.79,Unfunded,High,Add to weekly founder review.
MED-9055,Millie,2026-07-02,Heartworm Treatment,1381.46,Funded,High,Track before adoption readiness review.
MED-9056,Moose,2026-06-07,Heartworm Treatment,1728.84,Funded,High,Add to weekly founder review.
MED-9057,Willow,2026-04-20,Heartworm Treatment,810.54,Partially Funded,High,Needs funding visibility.
MED-9058,Millie,2026-05-29,Heartworm Treatment,701.25,Unfunded,High,Needs funding visibility.
MED-9059,Maisie,2026-05-14,Heartworm Treatment,1483.87,Partially Funded,High,Candidate for donor update.
MED-9060,Rex,2026-06-23,Medication,221.16,Partially Funded,Medium,Candidate for donor update.
MED-9061,Callie,2026-03-23,Surgery,891.65,Unfunded,High,Add to weekly founder review.
MED-9062,Willow,2026-04-04,Heartworm Treatment,1741.5,Funded,High,Track before adoption readiness review.
MED-9063,Poppy,2026-06-01,Heartworm Treatment,1718.37,Unfunded,High,Coordinate with volunteer medical lead.
MED-9064,Georgia,2026-05-01,Emergency Vet,1664.46,Unfunded,Critical,Add to weekly founder review.
MED-9065,Cash,2026-05-24,Dental,1409.59,Funded,High,Needs funding visibility.
MED-9066,Phoebe,2026-04-29,Heartworm Treatment,1290.17,Unfunded,High,Add to weekly founder review.
MED-9067,Bruno,2026-05-21,Heartworm Treatment,784.84,Funded,High,Coordinate with volunteer medical lead.
MED-9068,Remy,2026-05-18,Dental,915.59,Funded,High,Needs funding visibility.
MED-9069,Tucker,2026-04-01,Surgery,2116.15,Partially Funded,High,Candidate for donor update.
MED-9070,Ivy,2026-06-01,Heartworm Treatment,769.85,Unfunded,High,Candidate for donor update.
MED-9071,Atlas,2026-04-17,Heartworm Treatment,1028.42,Unfunded,High,Track before adoption readiness review.
MED-9072,Milo,2026-05-14,Emergency Vet,1126.33,Funded,Critical,Needs funding visibility.
MED-9073,Phoebe,2026-05-05,Diagnostic Testing,465.4,Unfunded,Medium,Needs funding visibility.
MED-9074,Diesel,2026-06-02,Dental,480.5,Partially Funded,High,Add to weekly founder review.
MED-9075,Tucker,2026-06-26,Medication,165.69,Partially Funded,Medium,Coordinate with volunteer medical lead.
MED-9076,Murphy,2026-04-23,Heartworm Treatment,1345.51,Partially Funded,High,Track before adoption readiness review.
MED-9077,June,2026-05-07,Heartworm Treatment,714.07,Unfunded,High,Track before adoption readiness review.
MED-9078,Sunny,2026-05-08,Dental,1213.26,Unfunded,High,Track before adoption readiness review.
MED-9079,Clover,2026-03-29,Medication,77.57,Partially Funded,Medium,Candidate for donor update.
MED-9080,Phoebe,2026-06-08,Surgery,2534.82,Funded,High,Add to weekly founder review.
MED-9081,Archie,2026-04-30,Dental,972.05,Partially Funded,High,Add to weekly founder review.
MED-9082,Diesel,2026-06-26,Dental,1238.02,Unfunded,High,Needs funding visibility.
MED-9083,Hazel,2026-06-29,Surgery,1316.16,Partially Funded,High,Candidate for donor update.
MED-9084,Hank,2026-05-12,Vaccines,176.62,Funded,Medium,Candidate for donor update.
MED-9085,Hazel,2026-03-31,Emergency Vet,1182.96,Funded,Critical,Candidate for donor update.
MED-9086,Ember,2026-06-09,Dental,700.85,Partially Funded,High,Candidate for donor update.
MED-9087,Archie,2026-03-12,Spay/Neuter,320.05,Partially Funded,Medium,Add to weekly founder review.
MED-9088,Cooper,2026-06-28,Dental,471.55,Unfunded,High,Track before adoption readiness review.
MED-9089,Cash,2026-03-29,Routine Visit,156.46,Funded,Low,Candidate for donor update.
MED-9090,Tucker,2026-06-19,Medication,248.37,Unfunded,Medium,Candidate for donor update.
MED-9091,Charlie,2026-06-28,Surgery,1046.42,Unfunded,High,Track before adoption readiness review.
MED-9092,Callie,2026-04-13,Vaccines,78.92,Unfunded,Medium,Track before adoption readiness review.
MED-9093,Finn,2026-04-25,Vaccines,155.67,Partially Funded,Medium,Add to weekly founder review.
MED-9094,Atlas,2026-03-18,Heartworm Treatment,1535.4,Funded,High,Needs funding visibility.
MED-9095,Sam,2026-03-08,Spay/Neuter,257.06,Unfunded,Medium,Add to weekly founder review.
MED-9096,Millie,2026-04-17,Routine Visit,88.03,Partially Funded,Low,Coordinate with volunteer medical lead.
MED-9097,Jasper,2026-05-18,Dental,1356.92,Funded,High,Coordinate with volunteer medical lead.
MED-9098,Winnie,2026-06-23,Diagnostic Testing,605.31,Unfunded,Medium,Track before adoption readiness review.
MED-9099,Diesel,2026-03-08,Routine Visit,161.65,Unfunded,Low,Track before adoption readiness review.
MED-9100,Molly,2026-05-14,Routine Visit,113.92,Unfunded,Low,Coordinate with volunteer medical lead.
MED-9101,Benny,2026-05-06,Heartworm Treatment,1375.86,Unfunded,High,Needs funding visibility.
MED-9102,Hank,2026-03-26,Routine Visit,88.6,Funded,Low,Candidate for donor update.
MED-9103,Millie,2026-06-19,Spay/Neuter,337.46,Unfunded,Medium,Needs funding visibility.
MED-9104,Phoebe,2026-06-29,Medication,46.77,Partially Funded,Medium,Needs funding visibility.
MED-9105,Bruno,2026-05-27,Heartworm Treatment,1624.48,Unfunded,High,Candidate for donor update.
MED-9106,Kona,2026-07-04,Emergency Vet,1444.04,Funded,Critical,Track before adoption readiness review.
MED-9107,Cooper,2026-05-14,Spay/Neuter,405.16,Partially Funded,Medium,Add to weekly founder review.
